timestamp,step,loss,l1,ssim,pts_M,fru_M,fru_pct,alloc_gb,rsv_gb,peak_gb,sh,elapsed
2026-03-12 12:10:51,46,0.4695,0.6883,0.9161,0.05,0.0,3.8,0.08,0.26,0.24,0,1.9
2026-03-12 12:10:51,47,0.4299,0.2788,0.7371,0.05,0.01,24.9,0.09,0.24,0.24,0,1.9
2026-03-12 12:10:51,48,0.3765,0.1777,0.7707,0.05,0.03,46.9,0.09,0.21,0.24,0,1.9
2026-03-12 12:10:51,49,0.3563,0.2128,0.7793,0.05,0.03,53.7,0.09,0.2,0.24,0,1.9
2026-03-12 12:10:51,50,0.3363,0.1915,0.7655,0.05,0.03,52.9,0.09,0.21,0.24,0,1.9
2026-03-12 12:10:51,51,0.3167,0.1806,0.7141,0.05,0.02,29.8,0.09,0.25,0.24,0,2.0
2026-03-12 12:10:51,52,0.3059,0.1795,0.7305,0.05,0.01,27.0,0.09,0.24,0.24,0,2.0
2026-03-12 12:10:51,53,0.3413,0.3057,0.7495,0.05,0.01,26.2,0.09,0.24,0.24,0,2.0
2026-03-12 12:10:51,54,0.3327,0.2159,0.7347,0.05,0.01,26.7,0.09,0.25,0.24,0,2.0
2026-03-12 12:10:51,55,0.3359,0.2348,0.7643,0.05,0.02,40.7,0.09,0.19,0.24,0,2.0
2026-03-12 12:10:51,56,0.3193,0.1889,0.7165,0.05,0.02,41.8,0.09,0.19,0.24,0,2.0
2026-03-12 12:10:51,57,0.3103,0.1779,0.7719,0.05,0.03,49.1,0.09,0.19,0.24,0,2.0
2026-03-12 12:10:51,58,0.321,0.2351,0.7448,0.05,0.02,40.0,0.09,0.19,0.24,0,2.1
2026-03-12 12:10:51,59,0.3787,0.3804,0.8048,0.05,0.01,13.7,0.09,0.24,0.24,0,2.1
2026-03-12 12:10:51,60,0.4509,0.498,0.8044,0.05,0.02,30.7,0.09,0.2,0.24,0,2.1
2026-03-12 12:10:51,61,0.3879,0.1847,0.728,0.05,0.02,43.7,0.09,0.19,0.24,0,2.1
2026-03-12 12:10:51,62,0.3277,0.1358,0.6441,0.05,0.01,24.3,0.09,0.24,0.24,0,2.1
