timestamp,iter,loss,vis_M,pts_M,vis_pct,blk,alloc_gb,rsv_gb,it_s,elapsed
"0323,13:28",11550,0.0934,0.91,4.02,22.7,8,0.29,0.77,19.8,
"0323,13:28",11560,0.0889,0.87,4.02,21.7,8,0.33,1.13,19.8,
"0323,13:28",11570,0.0888,1.05,4.02,26.0,8,0.29,1.05,19.8,
"0323,13:28",11580,0.0994,1.29,4.02,32.0,8,0.36,1.2,19.8,
"0323,13:28",11590,0.1002,0.47,4.02,11.7,8,0.28,1.23,19.8,
"0323,13:28",11600,0.0965,1.16,4.05,28.7,8,0.35,0.59,19.8,
"0323,13:28",11610,0.0948,1.2,4.05,29.6,8,0.32,0.76,19.8,
"0323,13:28",11620,0.1054,0.8,4.05,19.8,8,0.34,1.2,19.8,
"0323,13:28",11630,0.115,0.55,4.05,13.6,8,0.36,1.09,19.8,
"0323,13:28",11640,0.1289,1.2,4.05,29.6,8,0.41,1.4,19.7,
"0323,13:28",11650,0.1167,1.14,4.05,28.2,8,0.35,0.98,19.7,
"0323,13:28",11660,0.1132,0.99,4.05,24.4,8,0.32,1.27,19.7,
"0323,13:28",11670,0.1368,0.79,4.05,19.6,8,0.28,0.96,19.7,
"0323,13:28",11680,0.084,0.61,4.05,15.0,8,0.28,1.15,19.7,
"0323,13:28",11690,0.0951,0.47,4.05,11.7,8,0.28,1.25,19.7,
"0323,13:28",11700,0.1109,1.14,4.09,28.0,8,0.37,0.84,19.7,
"0323,13:28",11710,0.1078,1.06,4.09,25.8,8,0.36,1.23,19.7,
"0323,13:28",11720,0.0924,0.97,4.09,23.6,8,0.32,1.23,19.7,
"0323,13:28",11730,0.0921,1.07,4.09,26.1,8,0.34,1.07,19.7,
"0323,13:28",11740,0.1032,1.0,4.09,24.4,8,0.32,1.19,19.6,
"0323,13:28",11750,0.0972,1.09,4.09,26.7,8,0.38,1.13,19.6,
"0323,13:28",11760,0.1032,1.41,4.09,34.4,8,0.39,1.35,19.6,
"0323,13:28",11770,0.1052,1.12,4.09,27.3,8,0.32,0.89,19.6,
"0323,13:29",11780,0.1341,1.29,4.09,31.7,8,0.37,1.33,19.6,
"0323,13:29",11790,0.0985,0.76,4.09,18.6,8,0.31,1.23,19.6,
"0323,13:29",11800,0.0973,0.95,4.12,23.0,8,0.37,0.75,19.6,
"0323,13:29",11810,0.0996,0.93,4.12,22.6,8,0.34,1.21,19.6,
"0323,13:29",11820,0.0997,0.79,4.12,19.2,8,0.33,1.21,19.6,
"0323,13:29",11830,0.0996,1.4,4.12,34.0,8,0.39,1.34,19.6,
"0323,13:29",11840,0.1113,1.1,4.12,26.7,8,0.34,1.19,19.6,
"0323,13:29",11850,0.1034,0.7,4.12,17.1,8,0.33,1.17,19.6,
"0323,13:29",11860,0.0883,0.58,4.12,14.2,8,0.31,1.3,19.6,
"0323,13:29",11870,0.0879,0.65,4.12,15.7,8,0.31,1.08,19.5,
"0323,13:29",11880,0.0774,0.65,4.12,15.8,8,0.3,1.2,19.5,
"0323,13:29",11890,0.0975,0.9,4.12,21.8,8,0.34,1.15,19.5,
"0323,13:29",11900,0.0844,0.61,4.16,14.7,8,0.29,0.54,19.5,
"0323,13:29",11910,0.0983,1.23,4.16,29.7,8,0.32,1.29,19.5,
"0323,13:29",11920,0.0913,1.39,4.16,33.5,8,0.38,1.36,19.5,
"0323,13:29",11930,0.1158,1.0,4.16,24.1,8,0.37,1.12,19.5,
"0323,13:29",11940,0.097,1.02,4.16,24.5,8,0.4,1.1,19.5,
"0323,13:29",11950,0.1105,1.11,4.16,26.7,8,0.38,1.29,19.5,
"0323,13:29",11960,0.1164,0.81,4.16,19.4,8,0.37,1.25,19.5,
"0323,13:29",11970,0.125,0.96,4.16,23.2,8,0.37,1.25,19.5,
"0323,13:29",11980,0.1089,0.95,4.16,22.9,8,0.3,1.02,19.4,
"0323,13:29",11990,0.0964,0.67,4.16,16.1,8,0.3,1.1,19.4,
"0323,13:29",12000,0.0909,0.67,4.19,16.0,8,0.3,0.62,19.4,
"0323,13:29",12010,0.3519,0.83,4.19,19.9,8,0.28,1.19,19.4,
"0323,13:29",12020,0.2262,1.18,4.19,28.1,8,0.3,0.66,19.4,
"0323,13:29",12030,0.2115,0.65,4.19,15.5,8,0.29,1.2,19.4,
"0323,13:29",12040,0.1772,0.61,4.19,14.7,8,0.32,1.05,19.4,
"0323,13:29",12050,0.2381,1.05,4.19,25.1,8,0.3,1.07,19.4,
"0323,13:29",12060,0.181,0.65,4.19,15.6,8,0.37,1.11,19.4,
"0323,13:29",12070,0.177,1.02,4.19,24.4,8,0.38,1.24,19.4,
"0323,13:29",12080,0.13,0.68,4.19,16.2,8,0.28,1.16,19.3,
"0323,13:29",12090,0.1272,0.54,4.19,12.8,8,0.28,1.23,19.3,
"0323,13:29",12100,0.1259,0.65,4.07,16.1,8,0.27,0.61,19.3,
"0323,13:29",12110,0.1217,0.73,4.07,18.0,8,0.32,1.21,19.3,
"0323,13:29",12120,0.129,1.04,4.07,25.6,8,0.33,0.99,19.3,
"0323,13:29",12130,0.1242,0.49,4.07,12.0,8,0.28,0.99,19.3,
"0323,13:29",12140,0.1426,1.06,4.07,26.1,8,0.36,1.2,19.3,
"0323,13:29",12150,0.1135,0.55,4.07,13.5,8,0.36,1.22,19.3,
"0323,13:29",12160,0.105,1.28,4.07,31.5,8,0.34,1.26,19.3,
"0323,13:29",12170,0.108,0.52,4.07,12.9,8,0.29,0.9,19.3,
"0323,13:29",12180,0.1095,0.87,4.07,21.5,8,0.32,1.24,19.2,
"0323,13:29",12190,0.1102,0.49,4.07,12.1,8,0.27,1.06,19.2,
"0323,13:29",12200,0.0862,0.65,4.02,16.1,8,0.29,0.79,19.2,
"0323,13:29",12210,0.1075,1.15,4.02,28.6,8,0.35,1.31,19.2,
"0323,13:29",12220,0.1202,1.06,4.02,26.3,8,0.33,0.73,19.2,
"0323,13:29",12230,0.0978,0.95,4.02,23.6,8,0.34,1.25,19.2,
"0323,13:29",12240,0.1072,0.55,4.02,13.8,8,0.31,1.23,19.2,
"0323,13:29",12250,0.1085,0.96,4.02,23.8,8,0.32,1.11,19.2,
"0323,13:29",12260,0.105,0.91,4.02,22.7,8,0.29,1.1,19.2,
"0323,13:29",12270,0.1124,0.47,4.02,11.8,8,0.28,1.23,19.2,
"0323,13:29",12280,0.1004,1.07,4.02,26.7,8,0.36,1.01,19.2,
"0323,13:29",12290,0.0934,0.57,4.02,14.3,8,0.32,1.31,19.2,
"0323,13:29",12300,0.101,1.29,4.01,32.1,8,0.36,0.55,19.1,
"0323,13:29",12310,0.0989,1.25,4.01,31.3,8,0.34,1.23,19.1,
"0323,13:29",12320,0.1254,0.93,4.01,23.2,8,0.29,1.25,19.1,
"0323,13:29",12330,0.111,0.58,4.01,14.5,8,0.28,0.62,19.1,
"0323,13:29",12340,0.1072,0.49,4.01,12.3,8,0.28,0.9,19.1,
"0323,13:29",12350,0.0982,0.51,4.01,12.6,8,0.28,1.13,19.1,
"0323,13:29",12360,0.0936,0.84,4.01,21.0,8,0.33,1.18,19.1,
"0323,13:29",12370,0.1069,0.71,4.01,17.7,8,0.32,0.72,19.1,
"0323,13:29",12380,0.0953,0.53,4.01,13.2,8,0.36,1.18,19.1,
"0323,13:29",12390,0.0967,0.56,4.01,14.0,8,0.36,1.21,19.1,
"0323,13:29",12400,0.0949,1.02,4.01,25.6,8,0.33,0.8,19.0,
"0323,13:29",12410,0.0989,1.14,4.01,28.3,8,0.36,1.27,19.0,
"0323,13:29",12420,0.1146,0.87,4.01,21.7,8,0.33,1.08,19.0,
"0323,13:29",12430,0.1183,0.93,4.01,23.2,8,0.29,1.22,19.0,
"0323,13:29",12440,0.095,0.55,4.01,13.7,8,0.31,1.16,19.0,
"0323,13:29",12450,0.1175,1.1,4.01,27.4,8,0.32,1.21,19.0,
"0323,13:29",12460,0.1064,0.9,4.01,22.5,8,0.34,1.21,19.0,
"0323,13:29",12470,0.1055,0.91,4.01,22.7,8,0.37,1.1,19.0,
"0323,13:29",12480,0.1109,0.6,4.01,15.0,8,0.36,1.29,19.0,
"0323,13:29",12490,0.094,0.99,4.01,24.8,8,0.33,1.11,19.0,
"0323,13:29",12500,0.0914,1.12,4.01,28.0,8,0.37,0.73,19.0,
"0323,13:29",12510,0.1098,0.76,4.01,19.0,8,0.37,0.87,19.0,
"0323,13:30",12520,0.097,0.63,4.01,15.7,8,0.28,1.16,19.0,
"0323,13:30",12530,0.1025,0.95,4.01,23.7,8,0.3,1.19,19.0,
"0323,13:30",12540,0.0906,1.14,4.01,28.4,8,0.36,1.2,18.9,
"0323,13:30",12550,0.1139,1.11,4.01,27.8,8,0.37,1.19,18.9,
"0323,13:30",12560,0.086,0.93,4.01,23.2,8,0.33,1.13,18.9,
"0323,13:30",12570,0.1025,0.72,4.01,17.8,8,0.33,1.2,18.9,
"0323,13:30",12580,0.1238,0.87,4.01,21.7,8,0.33,1.17,18.9,
"0323,13:30",12590,0.0941,0.63,4.01,15.6,8,0.3,1.3,18.9,
"0323,13:30",12600,0.1,1.11,4.02,27.6,8,0.31,0.74,18.9,
"0323,13:30",12610,0.0884,1.26,4.02,31.4,8,0.34,1.19,18.9,
"0323,13:30",12620,0.0996,0.75,4.02,18.7,8,0.36,1.13,18.9,
"0323,13:30",12630,0.1053,0.45,4.02,11.3,8,0.28,0.63,18.9,
"0323,13:30",12640,0.1049,1.3,4.02,32.2,8,0.34,1.31,18.9,
"0323,13:30",12650,0.0985,1.28,4.02,31.8,8,0.35,1.32,18.9,
"0323,13:30",12660,0.1033,0.99,4.02,24.7,8,0.28,1.21,18.9,
"0323,13:30",12670,0.1066,1.33,4.02,33.2,8,0.34,0.59,18.9,
"0323,13:30",12680,0.1115,1.38,4.02,34.2,8,0.41,1.29,18.9,
"0323,13:30",12690,0.0927,1.1,4.02,27.3,8,0.37,1.22,18.9,
"0323,13:30",12700,0.1114,0.87,4.04,21.7,8,0.33,0.51,18.8,
"0323,13:30",12710,0.0991,0.92,4.04,22.7,8,0.29,1.25,18.8,
"0323,13:30",12720,0.0893,0.96,4.04,23.8,8,0.34,1.13,18.8,
"0323,13:30",12730,0.0952,1.38,4.04,34.1,8,0.39,0.68,18.8,
"0323,13:30",12740,0.0896,1.04,4.04,25.8,8,0.36,1.09,18.8,
"0323,13:30",12750,0.0921,0.72,4.04,17.9,8,0.34,0.92,18.8,
"0323,13:30",12760,0.1026,0.6,4.04,14.9,8,0.34,0.91,18.8,
"0323,13:30",12770,0.1097,0.95,4.04,23.5,8,0.39,1.25,18.8,
"0323,13:30",12780,0.0934,0.77,4.04,19.1,8,0.31,1.27,18.8,
"0323,13:30",12790,0.0983,1.28,4.04,31.8,8,0.36,1.09,18.8,
"0323,13:30",12800,0.089,1.03,4.05,25.5,8,0.34,0.63,18.7,
"0323,13:30",12810,0.0929,1.15,4.05,28.3,8,0.36,1.27,18.7,
"0323,13:30",12820,0.0911,1.06,4.05,26.3,8,0.37,1.14,18.7,
"0323,13:30",12830,0.1033,1.27,4.05,31.3,8,0.34,1.26,18.7,
"0323,13:30",12840,0.1031,0.86,4.05,21.2,8,0.33,1.31,18.7,
"0323,13:30",12850,0.1054,1.07,4.05,26.4,8,0.33,1.17,18.7,
"0323,13:30",12860,0.0881,1.06,4.05,26.1,8,0.3,1.25,18.7,
"0323,13:30",12870,0.0846,0.95,4.05,23.5,8,0.34,1.27,18.7,
"0323,13:30",12880,0.0905,1.12,4.05,27.6,8,0.3,0.51,18.7,
"0323,13:30",12890,0.0927,0.87,4.05,21.5,8,0.3,1.25,18.7,
"0323,13:30",12900,0.0949,0.41,4.07,10.0,8,0.26,0.65,18.7,
"0323,13:30",12910,0.0978,1.31,4.07,32.3,8,0.34,1.23,18.7,
"0323,13:30",12920,0.0929,0.97,4.07,23.9,8,0.32,1.21,18.7,
"0323,13:30",12930,0.1051,1.05,4.07,25.8,8,0.37,1.19,18.7,
"0323,13:30",12940,0.0923,0.78,4.07,19.2,8,0.31,1.14,18.7,
"0323,13:30",12950,0.1116,1.13,4.07,27.7,8,0.31,1.21,18.7,
"0323,13:30",12960,0.0857,0.99,4.07,24.3,8,0.32,1.04,18.6,
"0323,13:30",12970,0.1135,0.99,4.07,24.3,8,0.36,1.08,18.6,
"0323,13:30",12980,0.0777,1.01,4.07,24.9,8,0.31,0.68,18.6,
"0323,13:30",12990,0.1029,1.19,4.07,29.3,8,0.35,1.23,18.6,
